title,release_year,duration,calification,cast
Tiempos modernos,1936,87,8.5,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford']"
La ventana indiscreta,1954,112,8.5,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']"
Érase una vez en el oeste,1968,166,8.5,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards']"
Django sin cadenas,2012,165,8.5,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington']"
Luces de la ciudad,1931,87,8.5,"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers']"
Apocalipsis,1979,147,8.4,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']"
WALL·E,2008,98,8.4,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard']"
Amnesia,2000,113,8.4,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior']"
Duna: Parte Dos,2024,166,8.5,"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem']"
Los cazadores del arca perdida,1981,115,8.4,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']"
La vida de los otros,2006,137,8.4,"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Tukur']"
Avengers: Infinity War,2018,149,8.4,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']"
El ocaso de una vida,1950,110,8.4,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson']"
Spider-Man: Un nuevo universo,2018,117,8.4,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali']"
Testigo de cargo,1957,116,8.4,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester']"
Patrulla infernal,1957,88,8.4,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready']"
El resplandor,1980,146,8.4,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']"
El gran dictador,1940,125,8.4,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner']"
12th Fail,2023,147,8.7,"['Vikrant Massey', 'Medha Shankr', 'Anant Joshi', 'Anshuman Pushkar']"
Bastardos sin gloria,2009,153,8.4,"['Brad Pitt', 'Diane Kruger', 'Eli Roth', 'Mélanie Laurent']"
Alien 2: El regreso,1986,137,8.4,"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn', 'Paul Reiser']"
Batman: El caballero de la noche asciende,2012,164,8.4,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']"
Coco,2017,105,8.4,"['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']"
Amadeus,1984,160,8.4,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice']"
Toy Story,1995,81,8.3,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']"
