title,release_year,duration,calification,cast
Maharaja,2024,141,8.4,"['Vijay Sethupathi', 'Anurag Kashyap', 'Mamta Mohandas', 'Natarajan Subramaniam']"
El séptimo sello,1957,96,8.1,"['Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot', 'Nils Poppe']"
El odio,1995,98,8.1,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui', 'Abdel Ahmed Ghili']"
La Habitacion,2015,118,8.1,"['Brie Larson', 'Jacob Tremblay', 'Sean Bridgers', 'Wendy Crewson']"
Jai Bhim,2021,164,8.6,"['Suriya', 'Lijo Mol Jose', 'Manikandan K.', 'Rajisha Vijayan']"
Hotel Ruanda,2004,121,8.1,"['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix', 'Xolani Mali']"
Pelotón,1986,120,8.1,"['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe', 'Keith David']"
Los mejores años de nuestras vidas,1946,170,8.1,"['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright']"
Antes del atardecer,2004,80,8.1,"['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff', 'Louise Lemoine Torrès']"
El exorcista,1973,122,8.1,"['Ellen Burstyn', 'Max von Sydow', 'Linda Blair', 'Lee J. Cobb']"
La novicia rebelde,1965,172,8.1,"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker', 'Richard Haydn']"
Los Increíbles,2004,115,8,"['Craig T. Nelson', 'Samuel L. Jackson', 'Holly Hunter', 'Jason Lee']"
El mago de Oz,1939,102,8.1,"['Judy Garland', 'Frank Morgan', 'Ray Bolger', 'Bert Lahr']"
Siempre a tu lado,2009,93,8.1,"['Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa', 'Sarah Roemer']"
La pasión de Juana de Arco,1928,110,8.1,"['Maria Falconetti', 'Eugene Silvain', 'André Berley', 'Maurice Schutz']"
Rush: Pasión y gloria,2013,123,8.1,"['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde', 'Alexandra Maria Lara']"
Cuenta conmigo,1986,89,8.1,"['Wil Wheaton', 'River Phoenix', 'Corey Feldman', ""Jerry O'Connell""]"
Mi padre y mi hijo,2005,112,8.2,"['Çetin Tekindor', 'Fikret Kuskan', 'Hümeyra', 'Ege Tanman']"
El gigante de hierro,1999,86,8.1,"['Eli Marienthal', 'Harry Connick Jr.', 'Jennifer Aniston', 'Vin Diesel']"
Una voz silenciosa: Koe No Katachi,2016,130,8.1,"['Miyu Irino', 'Saori Hayami', 'Aoi Yûki', 'Kenshô Ono']"
Poder que mata,1976,121,8.1,"['Faye Dunaway', 'William Holden', 'Peter Finch', 'Robert Duvall']"
The Handmaiden,2016,145,8.1,"['Kim Min-hee', 'Ha Jung-woo', 'Cho Jin-woong', 'Moon So-ri']"
La batalla de Argel,1966,121,8.1,"['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi', 'Samia Kerbash']"
Ser o no ser,1942,99,8.1,"['Carole Lombard', 'Jack Benny', 'Robert Stack', 'Felix Bressart']"
Las viñas de la ira,1940,129,8.1,"['Henry Fonda', 'Jane Darwell', 'John Carradine', 'Charley Grapewin']"
Camino salvaje,2007,148,8,"['Emile Hirsch', 'Vince Vaughn', 'Catherine Keener', 'Marcia Gay Harden']"
Hechizo del tiempo,1993,101,8,"['Bill Murray', 'Andie MacDowell', 'Chris Elliott', 'Stephen Tobolowsky']"
Historias cruzadas,2011,146,8.1,"['Viola Davis', 'Emma Stone', 'Octavia Spencer', 'Bryce Dallas Howard']"
Gangs of Wasseypur,2012,321,8.2,"['Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia', 'Richa Chadha']"
Drishyam,2015,163,8.2,"['Ajay Devgn', 'Shriya Saran', 'Tabu', 'Rajat Kapoor']"
Las novias perdidas,2023,122,8.3,"['Nitanshi Goel', 'Pratibha Ranta', 'Sparsh Shrivastava', 'Chhaya Kadam']"
Andhadhun,2018,139,8.2,"['Ayushmann Khurrana', 'Tabu', 'Radhika Apte', 'Anil Dhawan']"
